"","type","batch"
"cell 1","acinar","celseq"
"cell 2","acinar","celseq"
"cell 3","acinar","celseq"
"cell 4","acinar","celseq"
"cell 5","acinar","celseq"
"cell 6","acinar","celseq"
"cell 7","acinar","celseq"
"cell 8","acinar","celseq"
"cell 9","acinar","celseq"
"cell 10","acinar","celseq"
"cell 11","acinar","celseq"
"cell 12","acinar","celseq"
"cell 13","acinar","celseq"
"cell 14","acinar","celseq"
"cell 15","acinar","celseq"
"cell 16","acinar","celseq"
"cell 17","acinar","celseq"
"cell 18","acinar","celseq"
"cell 19","acinar","celseq"
"cell 20","acinar","celseq"
"cell 21","acinar","celseq"
"cell 22","acinar","celseq"
"cell 23","acinar","celseq"
"cell 24","acinar","celseq"
"cell 25","acinar","celseq"
"cell 26","acinar","celseq"
"cell 27","acinar","celseq"
"cell 28","acinar","celseq"
"cell 29","acinar","celseq"
"cell 30","acinar","celseq"
"cell 31","acinar","celseq"
"cell 32","acinar","celseq"
"cell 33","acinar","celseq"
"cell 34","acinar","celseq"
"cell 35","acinar","celseq"
"cell 36","acinar","celseq"
"cell 37","acinar","celseq"
"cell 38","acinar","celseq"
"cell 39","acinar","celseq"
"cell 40","acinar","celseq"
"cell 41","acinar","celseq"
"cell 42","acinar","celseq"
"cell 43","acinar","celseq"
"cell 44","acinar","celseq"
"cell 45","acinar","celseq"
"cell 46","acinar","celseq"
"cell 47","acinar","celseq"
"cell 48","acinar","celseq"
"cell 49","acinar","celseq"
"cell 50","acinar","celseq"
"cell 51","acinar","celseq"
"cell 52","acinar","celseq"
"cell 53","acinar","celseq"
"cell 54","acinar","celseq"
"cell 55","acinar","celseq"
"cell 56","acinar","celseq"
"cell 57","acinar","celseq"
"cell 58","acinar","celseq"
"cell 59","acinar","celseq"
"cell 60","acinar","celseq"
"cell 61","acinar","celseq"
"cell 62","acinar","celseq"
"cell 63","acinar","celseq"
"cell 64","acinar","celseq"
"cell 65","acinar","celseq"
"cell 66","acinar","celseq"
"cell 67","acinar","celseq"
"cell 68","acinar","celseq"
"cell 69","acinar","celseq"
"cell 70","acinar","celseq"
"cell 71","acinar","celseq"
"cell 72","acinar","celseq"
"cell 73","acinar","celseq"
"cell 74","acinar","celseq"
"cell 75","acinar","celseq"
"cell 76","acinar","celseq"
"cell 77","acinar","celseq"
"cell 78","acinar","celseq"
"cell 79","acinar","celseq"
"cell 80","acinar","celseq"
"cell 81","acinar","celseq"
"cell 82","acinar","celseq"
"cell 83","acinar","celseq"
"cell 84","acinar","celseq"
"cell 85","acinar","celseq"
"cell 86","acinar","celseq"
"cell 87","acinar","celseq"
"cell 88","acinar","celseq"
"cell 89","acinar","celseq"
"cell 90","acinar","celseq"
"cell 91","acinar","celseq"
"cell 92","acinar","celseq"
"cell 93","acinar","celseq"
"cell 94","acinar","celseq"
"cell 95","acinar","celseq"
"cell 96","acinar","celseq"
"cell 97","acinar","celseq"
"cell 98","acinar","celseq"
"cell 99","acinar","celseq"
"cell 100","acinar","celseq"
"cell 101","acinar","celseq"
"cell 102","acinar","celseq"
"cell 103","acinar","celseq"
"cell 104","acinar","celseq"
"cell 105","acinar","celseq"
"cell 106","acinar","celseq"
"cell 107","acinar","celseq"
"cell 108","acinar","celseq"
"cell 109","acinar","celseq"
"cell 110","acinar","celseq"
"cell 111","acinar","celseq"
"cell 112","acinar","celseq"
"cell 113","acinar","celseq"
"cell 114","acinar","celseq"
"cell 115","acinar","celseq"
"cell 116","acinar","celseq"
"cell 117","acinar","celseq"
"cell 118","acinar","celseq"
"cell 119","acinar","celseq"
"cell 120","acinar","celseq"
"cell 121","acinar","celseq"
"cell 122","acinar","celseq"
"cell 123","acinar","celseq"
"cell 124","acinar","celseq"
"cell 125","acinar","celseq"
"cell 126","acinar","celseq"
"cell 127","acinar","celseq"
"cell 128","acinar","celseq"
"cell 129","acinar","celseq"
"cell 130","acinar","celseq"
"cell 131","acinar","celseq"
"cell 132","acinar","celseq"
"cell 133","acinar","celseq"
"cell 134","acinar","celseq"
"cell 135","acinar","celseq"
"cell 136","acinar","celseq"
"cell 137","acinar","celseq"
"cell 138","acinar","celseq"
"cell 139","acinar","celseq"
"cell 140","acinar","celseq"
"cell 141","acinar","celseq"
"cell 142","acinar","celseq"
"cell 143","acinar","celseq"
"cell 144","acinar","celseq"
"cell 145","acinar","celseq"
